asset,time,AdrActCnt,BlkSizeMeanByte,CapMrktCurUSD,CapRealUSD,DiffMean,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,TxTfrValAdjNtv,NVT,MVRV,ExchNetFlow
btc,2025-01-08 00:00:00+00:00,739012,1640207.368,1882472571006.6912,818941355150.7113,109782075598905.2,32845.30485688,flash,2025-01-09T02:13:19.700303000Z,37438.38847206,flash,2025-01-09T02:13:19.898318000Z,144933.35122744,12988539.594676023,2.298665904666954,-4593.083615180003
btc,2025-01-09 00:00:00+00:00,742304,1728058.3684210526,1829173131917.1704,818854221174.8296,109782075598905.2,32757.98227617,flash,2025-01-10T01:23:12.171207000Z,32668.71660585,flash,2025-01-10T01:23:12.433571000Z,117072.07657628,15624333.1920857,2.2338202388366666,89.26567032000094
btc,2025-01-10 00:00:00+00:00,797315,1721107.528169014,1877010385895.2708,819625649212.3322,109782075598905.2,30966.39342721,flash,2025-01-11T02:21:53.608586000Z,37936.71257184,flash,2025-01-11T02:21:53.845415000Z,183119.31219974,10250204.434188211,2.290082536703305,-6970.319144629997
btc,2025-01-11 00:00:00+00:00,680515,1735105.9927536233,1874028218724.514,819963604859.8173,109782075598905.2,17668.15098055,flash,2025-01-12T02:39:46.779662000Z,22662.98759082,flash,2025-01-12T02:39:47.017741000Z,74782.760635,25059628.75416272,2.285501707170164,-4994.836610270002
btc,2025-01-12 00:00:00+00:00,706797,1842867.1511627904,1869072635804.9487,820251584136.0266,109930061688895.2,16677.76480956,flash,2025-01-13T02:28:33.673718000Z,18879.9527151,flash,2025-01-13T02:28:33.873912000Z,53731.34522438,34785517.24323623,2.278657758123868,-2202.1879055399986
btc,2025-01-13 00:00:00+00:00,730319,1744541.53125,1869545289653.9631,820701493930.2118,110451907374649.5,29381.75004752,flash,2025-01-14T01:37:59.742147000Z,27973.16684439,flash,2025-01-14T01:37:59.924910000Z,115040.65470149,16251170.46234742,2.2779845089607447,1408.583203129998
btc,2025-01-14 00:00:00+00:00,790420,1829318.707792208,1913048986189.611,821735944632.4036,110451907374649.5,34496.37791258,flash,2025-01-15T01:20:05.618400000Z,35314.45054959,flash,2025-01-15T01:20:05.829398000Z,118351.52858797,16164125.71103932,2.3280580564665416,-818.0726370100019
btc,2025-01-15 00:00:00+00:00,804761,1628432.9856115107,1984466832794.948,823587050239.9304,110451907374649.5,33005.54883492,flash,2025-01-16T01:31:19.648689000Z,33297.11035842,flash,2025-01-16T01:31:19.627238000Z,143603.27421387,13819091.825437482,2.4095410827754344,-291.5615235000005
btc,2025-01-16 00:00:00+00:00,787871,1605017.1328125,1980650188550.284,825645607380.5542,110451907374649.5,31093.50256775,flash,2025-01-17T03:12:02.046053000Z,37810.45993387,flash,2025-01-17T03:12:02.025619000Z,154696.03745896,12803496.5929605,2.3989108291075403,-6716.9573661199975
btc,2025-01-17 00:00:00+00:00,844973,1690711.86,2066259604648.944,827857166782.5043,110451907374649.5,37574.89523238,flash,2025-01-18T02:30:41.829714000Z,45756.74843675,flash,2025-01-18T02:30:41.807754000Z,149501.23186478,13821020.595454505,2.4959131690307563,-8181.853204370003
btc,2025-01-18 00:00:00+00:00,730835,1669424.9846153846,2068314222988.14,829090467761.8209,110451907374649.5,25046.95678227,flash,2025-01-19T01:38:39.513450000Z,27016.86393789,flash,2025-01-19T01:38:39.491767000Z,82120.60403818,25186300.651496995,2.494678570568634,-1969.90715562
btc,2025-01-19 00:00:00+00:00,777201,1723463.9866666666,2000137986542.1,829701122604.0782,110451907374649.5,31089.85026237,flash,2025-01-20T01:42:02.197740000Z,31512.89046156,flash,2025-01-20T01:42:02.175314000Z,85668.62884899,23347379.47151912,2.410672870086663,-423.04019918999984
btc,2025-01-20 00:00:00+00:00,852334,1997448.256578948,2032568393070.4937,831297231111.5504,110451907374649.5,43777.5706562,flash,2025-01-21T02:04:30.334077000Z,39893.00317518,flash,2025-01-21T02:04:30.106191000Z,133422.93309479,15234025.710006392,2.445056132753733,3884.56748102
