asset,time,AdrActCnt,BlkSizeMeanByte,CapMrktCurUSD,CapRealUSD,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,TxTfrValAdjNtv,NVT,MVRV,ExchNetFlow
doge,2025-02-13 00:00:00+00:00,84793,36070.1795620438,38780775152.10342,25647804282.55148,,,,,,,864517402.8674845,44.8582932205563,1.5120504946494178,
doge,2025-02-14 00:00:00+00:00,77078,29620.96509090909,40192993508.40629,25657592137.62549,,,,,,,728216665.2864747,55.19372931762648,1.5665146321141106,
doge,2025-02-15 00:00:00+00:00,78532,29720.602347762288,40255936052.86052,25672185634.504272,,,,,,,591616312.7425035,68.0439926787171,1.5680759178819277,
doge,2025-02-16 00:00:00+00:00,69300,27402.26381724392,39362459746.582375,25670640797.80763,,,,,,,430242891.21354,91.48892532670769,1.5333649072735294,
doge,2025-02-17 00:00:00+00:00,74155,26465.317681584736,38217441912.005066,25661836393.960632,,,,,,,511308144.9462639,74.74444185907022,1.489271512969326,
doge,2025-02-18 00:00:00+00:00,75696,24289.559297218155,37105812813.128685,25653426635.503,,,,,,,802878428.9187276,46.21597925242648,1.446427151442458,
doge,2025-02-19 00:00:00+00:00,73341,29913.27081824765,37716282225.88014,25657207660.103146,,,,,,,427630017.2405186,88.1983974587705,1.4700072870567598,
doge,2025-02-20 00:00:00+00:00,80111,33440.71387073348,37738482873.517845,25661437905.081905,,,,,,,627461708.7172216,60.144678709829385,1.4706300953636056,
doge,2025-02-21 00:00:00+00:00,82214,30030.601021152444,35430739359.659775,25625086834.803986,,,,,,,769965329.3735393,46.01601917385943,1.3826583140213111,
doge,2025-02-22 00:00:00+00:00,80402,31449.70457902511,36585543137.17145,25615665070.259487,,,,,,,627882943.2782255,58.26809523787266,1.428248809344728,
doge,2025-02-23 00:00:00+00:00,91788,29134.17340191036,35943088228.005486,25610536632.628864,,,,,,,447523831.3163474,80.31547308281309,1.4034492421456148,
doge,2025-02-24 00:00:00+00:00,84684,22682.63405797101,31272274361.882847,25515993257.144634,,,,,,,1164902693.1760273,26.8453962250024,1.225595023745604,
doge,2025-02-25 00:00:00+00:00,103150,36566.60872727273,31385387544.6954,25429991373.09356,,,,,,,1610932517.9041698,19.48274505348488,1.2341878958678296,
doge,2025-02-26 00:00:00+00:00,88727,46071.40321402484,30084248937.85089,25381362990.49239,,,,,,,865829022.9937478,34.74617752339786,1.1852889440618362,
doge,2025-02-27 00:00:00+00:00,87414,36765.43922445936,30615850227.320507,25371182809.96889,,,,,,,792769429.6252297,38.61885824960948,1.2067174974314114,
doge,2025-02-28 00:00:00+00:00,82758,49193.83676470588,29880860700.367645,25306996850.923405,,,,,,,1198716498.4248776,24.92737919235392,1.1807351491126197,
doge,2025-03-01 00:00:00+00:00,81566,30160.755685986795,30530750829.22769,25301642412.81924,,,,,,,624050994.279178,48.92348719753715,1.2066707105843493,
