asset,time,AdrActCnt,BlkSizeMeanByte,CapMrktCurUSD,CapRealUSD,FlowInExNtv,FlowInExNtv-status,FlowInExNtv-status-time,FlowOutExNtv,FlowOutExNtv-status,FlowOutExNtv-status-time,TxTfrValAdjNtv,NVT,MVRV,ExchNetFlow
eos,2025-02-14 00:00:00+00:00,3944,,,,,,,,,,24143889.6236,,,
eos,2025-02-15 00:00:00+00:00,2159,,,,,,,,,,8473107.0511,,,
eos,2025-02-16 00:00:00+00:00,2116,,,,,,,,,,6394270.4034,,,
eos,2025-02-17 00:00:00+00:00,2241,,,,,,,,,,10397284.2727,,,
eos,2025-02-18 00:00:00+00:00,2582,,,,,,,,,,12932294.4057,,,
eos,2025-02-19 00:00:00+00:00,2210,,,,,,,,,,11261080.0151,,,
eos,2025-02-20 00:00:00+00:00,2253,,,,,,,,,,10284061.571,,,
eos,2025-02-21 00:00:00+00:00,4025,,,,,,,,,,11632337.2942,,,
eos,2025-02-22 00:00:00+00:00,2223,,,,,,,,,,24832085.5613,,,
eos,2025-02-23 00:00:00+00:00,2115,,,,,,,,,,9564093.6165,,,
eos,2025-02-24 00:00:00+00:00,2330,,,,,,,,,,23734473.8152,,,
eos,2025-02-25 00:00:00+00:00,2327,,,,,,,,,,16456434.3559,,,
eos,2025-02-26 00:00:00+00:00,2217,,,,,,,,,,13014374.1883,,,
eos,2025-02-27 00:00:00+00:00,2261,,,,,,,,,,9622278.3864,,,
eos,2025-02-28 00:00:00+00:00,4078,,,,,,,,,,18085943.3902,,,
eos,2025-03-01 00:00:00+00:00,2786,,,,,,,,,,17995707.632,,,
eos,2025-03-02 00:00:00+00:00,2126,,,,,,,,,,16876323.9506,,,
eos,2025-03-03 00:00:00+00:00,2292,,,,,,,,,,16162735.1829,,,
eos,2025-03-04 00:00:00+00:00,2263,,,,,,,,,,15858408.4561,,,
eos,2025-03-05 00:00:00+00:00,2192,,,,,,,,,,21330257.1779,,,
eos,2025-03-06 00:00:00+00:00,2164,,,,,,,,,,10576964.7209,,,
eos,2025-03-07 00:00:00+00:00,2977,,,,,,,,,,11404770.4807,,,
eos,2025-03-08 00:00:00+00:00,2149,,,,,,,,,,6668336.534,,,
eos,2025-03-09 00:00:00+00:00,2128,,,,,,,,,,12945260.2206,,,
eos,2025-03-10 00:00:00+00:00,2164,,,,,,,,,,15046640.576,,,
eos,2025-03-11 00:00:00+00:00,2165,,,,,,,,,,17269609.7155,,,
eos,2025-03-12 00:00:00+00:00,2149,,,,,,,,,,17055786.2909,,,
eos,2025-03-13 00:00:00+00:00,2107,,,,,,,,,,8900845.6234,,,
eos,2025-03-14 00:00:00+00:00,3895,,,,,,,,,,16270290.7458,,,
eos,2025-03-15 00:00:00+00:00,2155,,,,,,,,,,14405217.9995,,,
eos,2025-03-16 00:00:00+00:00,2120,,,,,,,,,,93868851.1876,,,
eos,2025-03-17 00:00:00+00:00,2205,,,,,,,,,,95339436.3709,,,
eos,2025-03-18 00:00:00+00:00,2166,,,,,,,,,,115896595.1922,,,
eos,2025-03-19 00:00:00+00:00,3163,,,,,,,,,,78113067.1948,,,
eos,2025-03-20 00:00:00+00:00,2215,,,,,,,,,,18548336.1294,,,
eos,2025-03-21 00:00:00+00:00,3758,,,,,,,,,,10647594.4387,,,
eos,2025-03-22 00:00:00+00:00,2130,,,,,,,,,,7154093.7316,,,
eos,2025-03-23 00:00:00+00:00,2105,,,,,,,,,,9941821.5658,,,
eos,2025-03-24 00:00:00+00:00,2297,,,,,,,,,,13034252.3876,,,
eos,2025-03-25 00:00:00+00:00,2213,,,,,,,,,,11573088.8638,,,
eos,2025-03-26 00:00:00+00:00,2204,,,,,,,,,,21765322.6826,,,
eos,2025-03-27 00:00:00+00:00,2213,,,,,,,,,,21209613.1005,,,
eos,2025-03-28 00:00:00+00:00,2952,,,,,,,,,,50330698.4889,,,
eos,2025-03-29 00:00:00+00:00,2104,,,,,,,,,,11483139.1301,,,
eos,2025-03-30 00:00:00+00:00,2125,,,,,,,,,,44598756.6897,,,
eos,2025-03-31 00:00:00+00:00,2257,,,,,,,,,,48883370.5668,,,
eos,2025-04-01 00:00:00+00:00,2317,,,,,,,,,,56128758.8335,,,
eos,2025-04-02 00:00:00+00:00,3673,,,,,,,,,,228586072.4301,,,
eos,2025-04-03 00:00:00+00:00,2701,,,,,,,,,,115747612.112,,,
eos,2025-04-04 00:00:00+00:00,3889,,,,,,,,,,43996784.1334,,,
eos,2025-04-05 00:00:00+00:00,2465,,,,,,,,,,121499495.4349,,,
eos,2025-04-06 00:00:00+00:00,2799,,,,,,,,,,28816750.0393,,,
eos,2025-04-07 00:00:00+00:00,5812,,,,,,,,,,39759039.0764,,,
eos,2025-04-08 00:00:00+00:00,2468,,,,,,,,,,21525782.4371,,,
eos,2025-04-09 00:00:00+00:00,2516,,,,,,,,,,21462060.2857,,,
eos,2025-04-10 00:00:00+00:00,5777,,,,,,,,,,25115784.573,,,
eos,2025-04-11 00:00:00+00:00,4023,,,,,,,,,,24925209.8037,,,
eos,2025-04-12 00:00:00+00:00,2500,,,,,,,,,,50368708.0121,,,
eos,2025-04-13 00:00:00+00:00,2347,,,,,,,,,,22712803.934,,,
eos,2025-04-14 00:00:00+00:00,2425,,,,,,,,,,75572012.8684,,,
eos,2025-04-15 00:00:00+00:00,2493,,,,,,,,,,21756875.0662,,,
eos,2025-04-16 00:00:00+00:00,3423,,,,,,,,,,25335554.58,,,
eos,2025-04-17 00:00:00+00:00,2443,,,,,,,,,,29922594.5252,,,
eos,2025-04-18 00:00:00+00:00,2628,,,,,,,,,,8575279.751,,,
eos,2025-04-19 00:00:00+00:00,2311,,,,,,,,,,6917608.6055,,,
eos,2025-04-20 00:00:00+00:00,2693,,,,,,,,,,9000810.3615,,,
eos,2025-04-21 00:00:00+00:00,6490,,,,,,,,,,12887373.3979,,,
eos,2025-04-22 00:00:00+00:00,2581,,,,,,,,,,13204103.1931,,,
eos,2025-04-23 00:00:00+00:00,2500,,,,,,,,,,9857542.3751,,,
eos,2025-04-24 00:00:00+00:00,2389,,,,,,,,,,12812873.3254,,,
eos,2025-04-25 00:00:00+00:00,4045,,,,,,,,,,27794344.7536,,,
eos,2025-04-26 00:00:00+00:00,2481,,,,,,,,,,8070264.5499,,,
eos,2025-04-27 00:00:00+00:00,2325,,,,,,,,,,11870021.4704,,,
eos,2025-04-28 00:00:00+00:00,2434,,,,,,,,,,11696492.0923,,,
eos,2025-04-29 00:00:00+00:00,2392,,,,,,,,,,13073277.8321,,,
eos,2025-04-30 00:00:00+00:00,2641,,,,,,,,,,150582536.3051,,,
eos,2025-05-01 00:00:00+00:00,2983,,,,,,,,,,15886494.011,,,
eos,2025-05-02 00:00:00+00:00,3929,,,,,,,,,,49406750.3891,,,
eos,2025-05-03 00:00:00+00:00,2247,,,,,,,,,,14809506.8064,,,
eos,2025-05-04 00:00:00+00:00,2151,,,,,,,,,,11248277.0517,,,
eos,2025-05-05 00:00:00+00:00,2342,,,,,,,,,,11669040.0521,,,
eos,2025-05-06 00:00:00+00:00,2295,,,,,,,,,,13261207.9906,,,
eos,2025-05-07 00:00:00+00:00,2487,,,,,,,,,,126019430.8793,,,
eos,2025-05-08 00:00:00+00:00,2508,,,,,,,,,,60060648.0402,,,
eos,2025-05-09 00:00:00+00:00,2431,,,,,,,,,,21166626.3399,,,
eos,2025-05-10 00:00:00+00:00,3934,,,,,,,,,,102252554.6608,,,
eos,2025-05-11 00:00:00+00:00,2416,,,,,,,,,,25263037.6304,,,
eos,2025-05-12 00:00:00+00:00,2502,,,,,,,,,,19744352.6139,,,
eos,2025-05-13 00:00:00+00:00,2472,,,,,,,,,,49801605.91,,,
eos,2025-05-14 00:00:00+00:00,2876,,,,,,,,,,45656772.2082,,,
eos,2025-05-15 00:00:00+00:00,2870,,,,,,,,,,34618412.2868,,,
eos,2025-05-16 00:00:00+00:00,4244,,,,,,,,,,131911532.5843,,,
eos,2025-05-17 00:00:00+00:00,2531,,,,,,,,,,18671397.0237,,,
eos,2025-05-18 00:00:00+00:00,2573,,,,,,,,,,36840031.6542,,,
eos,2025-05-19 00:00:00+00:00,2658,,,,,,,,,,99345687.2491,,,
eos,2025-05-20 00:00:00+00:00,2904,,,,,,,,,,33161605.6933,,,
